id,company,ticker,analyst,executive,question,answer,label,rater2_label,notes
1,Wells Fargo,WFC,"Ken Usdin, Autonomous Research","Michael Santomassimo, Chief Financial Officer","Hey, thanks. Good morning. And Mike, thanks for the color on the second half expected NIM trends. 2 questions I have 1 is just again, to get to 50 billion I think we need to assume that the average earning assets continue to grow at around this 3% pace And given your comments about loan growth and the deposit growth, is that kind of what we need to need to foot forward to get there? Any other things we need to think about in terms of within? Thanks.","Yeah. Sure. Yeah. I mean, look. If when you look at what is gonna progress for the second half of the year, it is very similar to what we saw last year. Right, in terms of the step-up as we went through each of the quarters. You do benefit from an extra day as you sort of go into the third quarter, so you sort of have to account for that. But we expect to see some growth in loans, securities, You get the benefit of, you know, the fixed asset turnover given where rates are. And so I think it is all progressing. So it is not a bad assumption sort of relative to what to expect, but we still feel very good about getting to that 50 billion in total.",,,
2,Wells Fargo,WFC,"Ken Usdin, Autonomous Research (follow-up)","Michael Santomassimo, CFO","Got it. And then the second question is just on that NIM stabilizing in the fourth quarter, what are the pieces that kind of get there? Meaning, like, is it that 1 piece slows relative to the growth rate? Is it just that you kind of lap some comps? You know, what are the helpful things underneath that can give us the confidence that stabilization happens?","Yeah. Sure. And, know, we have talked about this a little bit over, like, throughout the quarter, but you know, we do not expect to see the market's balance sheet to grow at the same pace. And so the impact that we have seen over the last, you know, few quarters moderates. And that is certainly part of the story as you get into the latter part of the part of the year. And then I think you continue to get the benefit of all what we just talked about in terms of the growth in earning assets, the repricing, and then you sort of, you know, see the rest of the growth across the, you know, the balance sheet. But at this point, you know, as I said, we expect just a small you know, decline potentially in the third quarter. You know, hopefully, it ends maybe even being better than that, and then we sort of stabilize from there.",,,
3,Wells Fargo,WFC,"John McDonald, Truist Securities","Michael Santomassimo, CFO","Hi, thanks. Yes, I was wondering, Mike, on expenses and efficiency, what is the outlook? I mean, you have done a great job with the outlook on headcount So from here, are you still looking to keep that flat to down? And just the broader commentary about the opportunity for efficiency improvement from here. To keep going. Thanks.","Yeah. Sure. I will I will take a shot and start Charles can add if he wants. The you on the headcount side or just more broadly we still come into the, you know, environment thinking the same thing we have now done now for a number of years, which is we have got a lot of room to go to continue to make the place more efficient. And in part, that drives headcount down. And so the size of our business, the activity levels we have got, we expect that you should we should be able to run this company, you know, with less headcount than we have got today. Certainly, you know, technology and AI helps us get out aspects of that you know, in a different way or faster than maybe in the past, but we expect that we will continue to see more efficiency, you know, from here. Then just more broadly, you know, it applies to just about everything we do. And I know we keep talking about this over and over and over, but as you peel back the onion, there is more opportunity to make things more automated to improve the client experience, to, you know, make more efficient in terms of how we serve clients every day, and I think there is a lot still to go. And we, you know, we are we just come in every day and every week sort of make sure that we continue to execute like we have done over the last few years.",,,
4,Wells Fargo,WFC,"John McDonald, Truist Securities (follow-up)","Michael Santomassimo, CFO","Okay. Thanks. And then maybe just a follow-up on Ken's line of questioning around the net interest income drivers. The change in noninterest bearing from what you saw what you were expecting earlier in the year, Mike, is that related to any developments in your checking account growth, or is it more attributable to rate seeking behavior on customers and just the rate environment? What do you attribute the change in your NIV outlook to?","Yeah. No. it is it is actually not related to the checking account growth. that is actually progressing quite well and is as Charles mentioned, you know, we are up we are up in sort of the checking account growth now for a number of quarters. And months in a row. And so I think that is actually going quite well. I think when you look at just the broader backdrop in terms of the rate environment, we expected a little bit more growth than we are seeing. You know, we did see a little bit of growth you know, from the first quarter and the second quarter, so that is good. But we expect it to be pretty stable from here. You know, we are seeing really good success in growing interest bearing deposits and growing other business with, you know, with clients, you know, in the payments space and the treasury management space. And so those things will bring net interest, noninterest bearing deposits with them over time. It just takes a little bit longer for that stuff to get onboarded and to see the results there. But we are not seeing we are not seeing pricing pressure sort of or client behavior drive any of the results.",,,
5,Wells Fargo,WFC,"Erika Najarian, UBS","Michael Santomassimo, CFO","Hi, good morning. Thanks for all the color so far. As we think about the trajectory of net interest income and net interest margin, I am wondering if we could maybe just take a step back because obviously, there is a lot of focus on this number. But I am wondering if you could sort of separate sort of the structural factors versus the cyclical factors. So you know, first, you know, what are you expecting for deposit costs in the second half of the year? Is there a rate hike priced in? I think you removed the cuts but, Mike, I just want to make sure what you were I understood what you were assuming for the short end. So what should we expect from deposit cost standpoint from here? And additionally, you have 2 strategies that are sort of a competing factors on the NIM. 1 is this great growth in markets, is obviously NIM dilutive. And also strong momentum in card, in theory could be NIM accretive, especially once the accounts mature. So, you know, as we think of all of those facts you know, how should we think about you know, whether or not we should expect more secular pressure on the NIM beyond the macro factors with rates and deposit costs in the second half of the year?","Yeah. Okay. There is a lot in there. So I will, I will try to get it. And if I if I miss a piece, please, please point me in the right direction. So I think when you when you look at what is happening across NIM, obviously, what we have got baked in to the second half of the year is, you know, the market's pricing in a little over a 1 increase at this point. And so I think we will see how that actually plays out, but that will have very little impact on the on the full year results just given, you know, the timing of it depending on when that happens. And so I think that is not like a huge driver 1 way or the other. I think what is what is what is happening in our in our deposit book, though, is that we are seeing the pace of interest bearing deposits grow. At a really good clip, and you can see that in the results quarter after, quarter after quarter. And I think if even if you just look at the CIB and the Corporate and Investment Bank and the commercial bank deposits where you have seen you know, really good deposit growth year on year and sequentially. And the majority of those deposits are gonna be interest bearing deposits. And so since they are growing faster and you are seeing slower growth in the consumer side and pretty stable noninterest bearing deposits, you are gonna see, you know, the deposit cost inch up a little bit. And that is actually fine and expected and frankly, not a bad thing because we are growing these profitable balances, you know, across the business So I would expect the deposit cost to move just move up a little bit as you go in the second half of the year, but ultimately, I think that is actually a good thing from a profitability point of view and supports the broader set of business that we do, you know, with those customers. And then as I sort of mentioned in the commentary, you know, we expect a little bit more, you know, NIM compression in the third quarter, and then things start to stabilize, and you get the benefit of all of the other impacts of, you know, you know, that we have talked about in terms of the earning asset growth, the repricing that is happening across a large portion of the book, of the securities book. And so and all and all of that, I think, contributes quite well. And I think just keep in mind as we sort of look at NII, you know, what we are we are most focused on here is really growing NII over a long period of time that will generate really profitable business and relationship that I think would, you know, we will see, you know, benefit us for you know, for many years to come. And you may see a little bit of volatility in the NIM number, you have seen over the last, you know, few quarters. And that is to be expected just given where we came from last year with the asset cap coming off and the pace of growth that you have seen know, since then.",,,
6,Wells Fargo,WFC,"Erika Najarian, UBS (second follow-up)","Michael Santomassimo, CFO / Charles W. Scharf, CEO","Yep. Hear you loud and clear, Charles. I think that is why I wanted to frame it in terms of you know, structural in growth. And to that end, the second question is just the opportunity set in your areas of where you are focusing growth. So maybe talk a little bit about the investment banking pipeline, but also in terms of the equities opportunity So we are hearing that a lot of your peers are a little bit more limited in terms of prime equity financing capacity given the hyperscaler trade in Asia. Of course, you are not quite big globally yet, and you did mention it in your prepared remarks in terms of financing related activity. Maybe describe a little bit more the prime financing opportunity that lies ahead, especially if the sort of traditional, counterparties, have more limited capacity because of activities outside of The US.","Yeah. it is Mike. Erika, I will start and start on both parts of it. So on the on the investment banking pipeline, you know, the pipeline's quite strong. And I think we see that now very consistently for a while now. And I think, you know, the environment is very supportive of deals. The markets are wide open both on the equity side and sort of the debt side. And I think, you know, the art of the possible on the M&A, you know, in the M&A space is quite alive. Right? And I think there is a lot of active dialogue there. And I think you can see our investment banking, you know, business had a really good quarter. And I think, you know, that all the investments that we have made the last 3 or 4 years have positioned us to take more advantage of this environment more than we would have been able to know, 3, 4, 5 years ago by a lot. And I think we are continuing to make, you know, more investments in, you know, targeted areas across different coverage sectors and in some of product areas. And so we feel good about the trajectory there, and we will see how it how it progresses. And just on the broader question, I would just say, listen. I think, you know, what we have said in the past, you know, still holds true, which is that there is a lot of great competition out there. There are people that are very, very large in some of these businesses, including prime. But what we have found is that people want more options, They want more counterparties. We have relationships with a broad set of these customers, and they generally like doing business with us and so they want to do more. So for us, it is a question of just pacing that addition in terms of the amount of business that we do properly. We are still very, very early in terms of growing out our prime business. So there is nothing really material in this current quarter. Relative to that, but it is an opportunity that, you know, we are gonna be careful about you know, that along with you know, other trading flow opportunities that we have and the investment banking opportunities that we have talked about, we still think are incredibly significant for us.",,,
7,Wells Fargo,WFC,"Ebrahim Poonawala, Bank of America","Michael Santomassimo, CFO","Hey, good morning. So not to beat a dead horse on the margin. And I, the stock obviously sold off when you started talking about your margin outlook. Understand you are not running the bank on a 1-day stock reaction. But maybe I think just a bigger picture question. If we take a step back and, appreciate, Mike, your comments around the trajectory of the NII, which I think is more important than what the NIM does in any given quarter. But as we look forward beyond even this year, do you think the net interest margin given your balance sheet and the business strategy on the going forward, is at a point where the margin should begin to stabilize post the 3Q compression you talked about? And 1 of the pushbacks this morning has been, like, the ex-markets revenue growth predominantly NII driven. So I guess the street is struggling to see the cross sell of deploying that market's balance sheet into lower NIM and then that translating into better fee growth on the markets side. So maybe help us understand that from a market standpoint and then how should we think about this normalized NIM for your balance sheet or business strategy?","Sure. You know, I think on the on the NIM side, know, as I said earlier on the call, you know, we do expect it to stabilize. After you get through the third quarter, and so that is definitely the case. And as Charles mentioned, you know, there is, you know, over a slightly longer time period, like, there is opportunity to expand the NIM, not just stabilize. And so I think that is that is certainly what we expect as we sort of look at, the rest of the year. I think when you start looking at the overall, you know, trading business, there, you certainly see some growth in that NII, but it is not all because of the rate move that we saw. You get the paid, you know, in some of the in some of these trading businesses through NII. You think mortgages, you know, mortgage trading and other areas of the of that business. And so you do really need to look at overall sort of revenue in the markets business. When you look at, you know, the financing, you know, and I will break it down a little bit for you. You look at you know, the financing side of the business, you know, that is up. it is not it is not quite a not quite a double, but it is pretty close when you sort of look at you know, the year on year performance in the overall financing revenue within the business. And then you saw, you know, roughly a 20 plus percent, you know, increase in sort of the trading related revenue you know, off the back of that. And so I think we have seen know, quite a bit of quite a bit of, you know, growth across you know, these, you know, these parts of the business within trading. And then more importantly, when you start looking at the individual clients where we are deploying some of this incremental financing balance sheet to, every single 1 of them, all but a couple, you know, have done significantly more business with us than they did just a year ago. And that is just getting started in terms of ramping up some of the volumes. And so I think you will, you know, you will continue to see that, you know, across the markets business, I think, for into the coming quarters. But we feel really good about what we are seeing and the trend that we are seeing there.",,,
8,Wells Fargo,WFC,"Ebrahim Poonawala, Bank of America (follow-up)","Charles W. Scharf, CEO","So I think that is a great point, Charles. that the NIM is due to the deliberate actions you are taking. And I think the 1 point of discussion that is come up repeatedly with investors over the last month or 2 is no 1 doubts when they think about can Wells achieve higher end of your 17% to 18%, so let's call it 18% RoTCE over the next few years. I think as the street is trying to digest what the execution around this growth strategy may imply, I think the timing of that has become a bit more uncertain, I would say, over the last 6 months. And so to the extent you can address that? Just with your crystal ball, like, how do you think about when you could achieve that target maybe towards that 18%, which also I recall, you have talked about as a waypoint, and we could go even higher than 18%? Maybe if you can provide some color around the timing of how you think about it, I think that would be very helpful to your shareholders. Thank you.","Sure. And listen, I know it is a very busy day, and you guys are trying to juggle lots of different companies. I did talk a little bit about this in my prepared remarks where I talked about the fact that I know that people ask about timing. it is difficult to answer because what I do not want to do--what we do not want to do is a company is give you a definitive date and then have interest rate environment change, the markets environment change, credit change, and then you believe that we have not actually delivered on something, because the fact is we are subject to those things. But assuming that the markets continue to behave and that conditions continue to be favorable. What I said is that you know, we would expect to achieve it in a reasonable time frame. And the 1 other thing I would say, which is as time goes on and from last quarter's underlying performance in our business trends in this quarter's, we feel even more confident about being able to deliver it. What I said in my prepared remarks is that our intention is to get there and then raise the bar higher for the future. So if we did not have the kind of confidence that we can get there in a reasonable period of time, you know, we would not be saying that. And, again, what gives us that confidence is looking at the underlying business drivers that we tried to lay out in the first 2 pages of the presentation, because it is those things which are gonna drive the continued growth of the franchise you know, regardless to some extent of outsized performance in the markets. So I know it is not giving you a definitive time frame, but what I want you to know--I think what is important to read is our confidence is higher, not lower, as each quarter goes by.",,,
9,Wells Fargo,WFC,"Manav Gosalia, Morgan Stanley","Michael Santomassimo, CFO","Hi, good morning. I wanted to dig in a little bit on loan growth Clearly, very strong this quarter. You noted upside to the original loan growth guide for the full year. Can you just walk us through some of the drivers on what you are seeing now? How much of the commercial loan growth reflects high utilization versus new customer activity? And I guess, your willingness and ability to lead more on the auto side going forward?","Sure. I will start maybe on the consumer side, and then I will bring it back on the commercial side. So on the consumer side, you know, we continue to see really good growth in auto. We see steady growth in card. The home lending business is pretty stable at this point. And I think those trends, like, we would expect to continue as you sort of look at the rest of the rest of the year. And so steady as you go in terms of what we have been seeing quarter to quarter there. I think on the commercial loan side, it is really not utilization. You know, we see a little bit in pockets of, like, slightly more utilization here or there, but it is really not, you know, you know, substantially higher utilization of revolvers. It is it is new business we have been bringing on that drives a lot of it in the C&I space. And I think, you know, we will see how the rest of the year progresses, you know, as I mentioned in the script, you know, we know we certainly have seen you know, higher loan growth than what we had assumed in the beginning of the year, and that is a that is a positive. You know, we will have to see how the rest of the year goes. I think, you know, you definitely see tariff refunds coming through impacting some commercial bank clients. In terms of the utilization. You see a bunch of other factors there, but I think it is been it is been good so far, and we will see how progresses for the rest of the for the rest of the year. And, you know, importantly, with that, we are not you know, we are seeing really good you know, performance from a credit perspective across really all the portfolios. And I think that supports, you know, you know, continued sort of execution across each of the businesses and growing, you know, those portfolios.",,,
10,Wells Fargo,WFC,"Manav Gosalia, Morgan Stanley (follow-up)","Michael Santomassimo, CFO","And then maybe on the capital side, 3 billion of buybacks this quarter, little bit below the recent base. How should we think about where you want to manage to in your c d 1 target range? And how should we think about repurchases going forward here?","Sure. I mean, we are we are really comfortable in the range that we put out there. 10 to 10 and a half, really anywhere in that range. We are we are comfortable with And we will we approach buybacks the same way we do every quarter. You know, we look at, you know, what we expect to do from a client perspective and what growth we expect to see across the portfolios and the business. We, you know, think about all the different risks that are out there, including the rate environment and the volatility that may be there and how that impacts capital. And then, you know, we will we will we will make decisions on how much we will buy back each quarter. And so we will sort of keep that you know, progression as we go this quarter, and we will see where we get to. But we certainly as we mentioned, we bought back 7 billion in the in the in the first half of the year, and I think we still have capacity to buy back more as we go. We will make the decision we go in the quarter.",,,
