id,company,analyst,executive,question,answer,rater2_label,notes
4,Wells Fargo,"John McDonald, Truist Securities (follow-up)","Michael Santomassimo, CFO","Okay. Thanks. And then maybe just a follow-up on Ken's line of questioning around the net interest income drivers. The change in noninterest bearing from what you saw what you were expecting earlier in the year, Mike, is that related to any developments in your checking account growth, or is it more attributable to rate seeking behavior on customers and just the rate environment? What do you attribute the change in your NIV outlook to?","Yeah. No. it is it is actually not related to the checking account growth. that is actually progressing quite well and is as Charles mentioned, you know, we are up we are up in sort of the checking account growth now for a number of quarters. And months in a row. And so I think that is actually going quite well. I think when you look at just the broader backdrop in terms of the rate environment, we expected a little bit more growth than we are seeing. You know, we did see a little bit of growth you know, from the first quarter and the second quarter, so that is good. But we expect it to be pretty stable from here. You know, we are seeing really good success in growing interest bearing deposits and growing other business with, you know, with clients, you know, in the payments space and the treasury management space. And so those things will bring net interest, noninterest bearing deposits with them over time. It just takes a little bit longer for that stuff to get onboarded and to see the results there. But we are not seeing we are not seeing pricing pressure sort of or client behavior drive any of the results.",,
5,Wells Fargo,"Erika Najarian, UBS","Michael Santomassimo, CFO","Hi, good morning. Thanks for all the color so far. As we think about the trajectory of net interest income and net interest margin, I am wondering if we could maybe just take a step back because obviously, there is a lot of focus on this number. But I am wondering if you could sort of separate sort of the structural factors versus the cyclical factors. So you know, first, you know, what are you expecting for deposit costs in the second half of the year? Is there a rate hike priced in? I think you removed the cuts but, Mike, I just want to make sure what you were I understood what you were assuming for the short end. So what should we expect from deposit cost standpoint from here? And additionally, you have 2 strategies that are sort of a competing factors on the NIM. 1 is this great growth in markets, is obviously NIM dilutive. And also strong momentum in card, in theory could be NIM accretive, especially once the accounts mature. So, you know, as we think of all of those facts you know, how should we think about you know, whether or not we should expect more secular pressure on the NIM beyond the macro factors with rates and deposit costs in the second half of the year?","Yeah. Okay. There is a lot in there. So I will, I will try to get it. And if I if I miss a piece, please, please point me in the right direction. So I think when you when you look at what is happening across NIM, obviously, what we have got baked in to the second half of the year is, you know, the market's pricing in a little over a 1 increase at this point. And so I think we will see how that actually plays out, but that will have very little impact on the on the full year results just given, you know, the timing of it depending on when that happens. And so I think that is not like a huge driver 1 way or the other. I think what is what is what is happening in our in our deposit book, though, is that we are seeing the pace of interest bearing deposits grow. At a really good clip, and you can see that in the results quarter after, quarter after quarter. And I think if even if you just look at the CIB and the Corporate and Investment Bank and the commercial bank deposits where you have seen you know, really good deposit growth year on year and sequentially. And the majority of those deposits are gonna be interest bearing deposits. And so since they are growing faster and you are seeing slower growth in the consumer side and pretty stable noninterest bearing deposits, you are gonna see, you know, the deposit cost inch up a little bit. And that is actually fine and expected and frankly, not a bad thing because we are growing these profitable balances, you know, across the business So I would expect the deposit cost to move just move up a little bit as you go in the second half of the year, but ultimately, I think that is actually a good thing from a profitability point of view and supports the broader set of business that we do, you know, with those customers. And then as I sort of mentioned in the commentary, you know, we expect a little bit more, you know, NIM compression in the third quarter, and then things start to stabilize, and you get the benefit of all of the other impacts of, you know, you know, that we have talked about in terms of the earning asset growth, the repricing that is happening across a large portion of the book, of the securities book. And so and all and all of that, I think, contributes quite well. And I think just keep in mind as we sort of look at NII, you know, what we are we are most focused on here is really growing NII over a long period of time that will generate really profitable business and relationship that I think would, you know, we will see, you know, benefit us for you know, for many years to come. And you may see a little bit of volatility in the NIM number, you have seen over the last, you know, few quarters. And that is to be expected just given where we came from last year with the asset cap coming off and the pace of growth that you have seen know, since then.",,
12,Wells Fargo,"Matthew O'Connor, Deutsche Bank","Michael Santomassimo, CFO","Just a quick comment before my question here. As your markets business has gotten bigger, I know you give us the pieces that you could probably calculate it, but showing the NIM ex markets, I think, might be helpful in kind of handful of these questions. Related to it. My question is, the new credit card accounts, as you pointed out, are up sharply post listing of the asset cap. I think it is up 50% to 60% now. In the 4 quarters. Any way to estimate how much of a drag there is from those new cards and related promotions as we think about the credit card yield? And then when does that inflect as the backbulk kind of starts overwhelming the new accounts?","Yeah. So it is as Charles sort of mentioned in his script, like, we have made some you know, intentional decisions to, you know, see the growth like, you know, continue to execute on growing those accounts. And I think you know, the good part about what we have seen now for the last you know, almost 4 quarters, I guess, started really in the third quarter of last year. Is a lot of that a lot of those new accounts are actually coming through our either our branch network or, you know, people coming directly to wellsfargo.com. And so the acquisition cost there are lower than, you know, if you are if you are doing them through, you know, third party affiliates and others. And so that is a really good thing, you know. And with that comes really high quality, you know, accounts. We know these customers. You know, the majority of it is still existing customers that are, you know, coming you know, coming to, you know, us for these, you know, these cards. And so I think that is a good thing. And I think as, you know, those vintages are a little bit bigger than the, you know, the early vintages. And so but overall, we continue to make you know, we will continue to make those decisions as we go quarter to quarter and decide sort of you know, what we are seeing and how happy we are with the quality of it. And I think, you know, both but despite that, I think over the next couple years, will you will see you know, the profitability of that business, you know, just you know, continue to increase, and the return increase in the business, and that is, you know, the way we have been sort of managing it. And then, you know, the yield quarter to quarter, you know, in terms of, you know, what you see from the credit card deal, that will that will move around a little bit depending on sort of what we see from the new acquisitions. But over a longer period of time, you will see that continue to increase as those as those vintages mature, and you transition from the intro, the APRs or the you know, balance transfer APRs into sort of real revolve revolving balances. And that will happen over the next couple of years.",,
14,Wells Fargo,"John Pancari, Evercore ISI (follow-up)","Michael Santomassimo, CFO","And then separately on expenses, I appreciate the color you already gave around efficiency and everything. Can you maybe just give us a little update around the risk and reg area of the of the cost base? I know there is still a fair amount of dedicated to that area. Is this broader area now that a lot of the regulatory issues have been worked through becoming a greater expense lever for you? Thanks.","Yes. Certainly. And I think, you know, we talked about that over the last couple years. Right? As we completed the work and moved past, you know, the consent orders that we had in place, you will see us continue to make that prop those processes that we put in place more efficient. And if you think about where we started this journey 5, 6, 7 years ago now, you know, I think there is better technology. there is better ways to do things. And so the normal streamlining that sort of happens is happening. But that will be a very methodical sort of approach, and you will see that happen over, you know, over time. But it certainly part of some of the efficiency that you are seeing come through in the last couple of quarters.",,
15,Wells Fargo,"Chris McGratty, Keefe, Bruyette and Woods","Michael Santomassimo, CFO","Great. Just 1 on credit. it is been questions have been fairly limited on conference calls this quarter and throughout the quarter. Just I guess, a check-in on consumer health of the consumer, anything incremental you may be seeing? And then conversely on the commercial borrower, demand for credit we talked about, but just any signs within the commercial book of weakening or normalization. Thanks.","Yeah. On the on the consumer side, it really is good. You know, the delinquency trends are better than we model most months. Really, every month that we have seen now for the for all year, across each of the portfolios. We are not seeing sign any you know, we are not seeing any cohorts of clients whether you break it by FICO or other ways to look at higher or lower income levels. We are not seeing any of the trends in any of the cohorts change really at all. Certainly not anything meaningful. And so I think, you know, it is supportive of, you know, a good second half of the year, you know, when you think about sort of delinquencies and charge offs. And so I think that is really good, and that supported you know, by, you know, the strong, you know, employment know, picture that we see more broadly, and we have seen, you know, good wage growth to counteract some of the inflationary, you know, issues that we have that we have had. And so overall, you are seeing really good performance on the consumer side. On the commercial side, same. Really, there is no issues that we are seeing, you know, come through the portfolio. there is always you know, individual idiosyncratic issues you might see with an individual borrower. But overall, we are seeing really good credit performance. I think people are still being very cautious about, you know, big investments. They still have more liquidity in most cases than they did know, maybe historically, you know, pre COVID days. Yeah. You are not seeing people, you know, make big investments in terms of hiring lots of people, but you are also not seeing people fire a lot of people, at least in what we can tell in our book. And so I think overall, you know, I think people are managing their liquidity and managing their, you know, overall balance sheets quite well in the commercial side. And so, again, you know, we have not seen anything that would suggest there is a change to that at this point.",,
18,Wells Fargo,"Vivek Janaeja, JPMorgan","Michael Santomassimo, CFO / Charles W. Scharf, CEO (speaker attribution ambiguous in source for this one)","Thanks. Can you hear me? Yes, we can. Yep. Thanks. Charles, Mike. Sorry. I am just stepping back on NII. We are stepping away even just from them. Both you and Mike said at conferences in the second quarter, you were very confident about the $50 billion NII. And today, gone to 50 billion plus or minus. Seems like a little bit of a shift. Any color on what is driving that?","Is that a shift? what is driving that little shift? David, that no shift at all. The 50 billion plus or minus is exactly what we said in January and exactly what we said, you know, in the fur end of the first quarter. And what I said at Morgan Stanley, you know, conference and others. And so I think no shift at all, and we are very confident. No intention to shift anything or guidance is the same, and we feel confident about it.",,
26,Citi,"Mike Mayo, Wells Fargo (follow-up)","Jane Fraser, CEO","And a question related to your remediation efforts. Last quarter, you said you are 90%+ done, and do you expect it to be 100% done sometime in the near term? I think you said that in at investor day. Are you at 93%, 99%? Do you think you get to 100% and then you turn it over to the regulators? to make their decision?","I am not going to get in I am not gonna get into the game of whether we are at 95%, 96%, 97%. You know, we are largely now operating at the city target state, I think the important piece I mentioned in my opening remarks is a large amount of our work on the consent order successfully passed through audit validation this past quarter. And therefore can get handed over to our regulators. And as you know, we have still got remaining work, that relates to enhancing data governance, particularly for regulatory reporting and we continue to make steady progress on it.

In terms of the timing of the removal of the consent orders, that is fully at the discretion of our regulators, in terms of reviewing the work that we have done, as we hand it over, and then going through their closure process, and that takes time. But I do reemphasize for our investors whenever we complete each body of work, we begin taking down the remediation expenses and you can see that in our expense line. it is creating the capacity to further invest in the businesses that is the additional $5 billion of investment that we talked about in May, and we do not need to wait for the orders to close to do this.

That is happening already.",,
28,Citi,"Ken Usdin, Autonomous Research (follow-up)","Gonzalo Lucchetti, CFO / Jane Fraser, CEO","Okay. And then just 1 follow-up. You mentioned potentially some additional severance in the second half. Can you remind us of just the severance you took year-to-date in the first half? And then what is the maybe you can help us about the type and magnitude of severance that you might book in the second so we can kind of understand also some of that future, like you said, you know, to get future efficiencies. Right? Is it help us understand, like, how bulky that might be in terms of, being run rate of your.","Yes. No. Thank you. While we may not provide exact guidance on what we expect from second half of severance, let me recap a little bit what we had said and the position that we are in now. So the first quarter was about $500 million The second quarter just now is another $300 million for an $800 million year to date You are kind of seeing the acceleration of those actions play through in the headcount You see it there on slide 5. And then to recap last year, it was about $800 million also. When we gave guidance for the year, we expect it to be at around that same level or slightly below from prior year.

Obviously, sitting here now and to the point that Jane and I were making, we will still be open minded about the second half if we see opportunities If I anchor it back to what we said a couple of months ago at Investor Day, remember, what I said about structural efficiencies to help fund those investments that we wanna make over the near term. Are anchored in 3 legs. Right? Leg number 1 is stranded cost, and you are seeing those already come down from $1.3 billion a year ago to about a run rate of $800 million if you look at our second quarter numbers. for $200 million that you can annualize.

We talked about transformation cost and Jane just mentioned that. As we reach completion of the programs, we are taking action on the portion of the transformation cost that is temporary. That sits in corporate other. I had mentioned that at Investor Day. You remember the peak was $3.3 billion of that total expense, about half of those sitting corporate other, which are the ones that are temporary in nature, not the ones that are structurally in nature. And we are starting to see those come down. And then the third leg of that structural efficiency push is the productivity opportunities that we see from technology and AI automation.

And I spoke about how we have more than 100+ processes that we are mapping end to end where we see opportunities for further automation. We look at this every week. Anand, our COO, and Tim Ryan, our head of technology. And we are very purposely trying to make progress on that So as we see opportunities and if we see opportunities, this is what I was referring to. I am trying to connect the dots here. In the second half, to accelerate some of those productivity opportunities, we may take, more severance in the second half, but we are not, you know, we are not providing a specific number now. Thank you.""

**Answer (Fraser, closing):** ""And our North Star with all of this is pulling forward. Higher sustainable returns.",,
29,Citi,"Ebrahim Poonawala, Bank of America","Gonzalo Lucchetti, CFO","Hey. Good morning. I guess maybe, Gonzalo, just to follow-up, I think and hey, Jane. On this, I think with the stock's down 5%. I think to Mike's question earlier about the back half being worse than the first half, I understand that is not what the message was. The message was if the revenue environment is stronger, you are gonna take advantage of that by investing. But maybe as we look in terms of the momentum you had in the first half, yes, there is some seasonality as we look into the third quarter and later in the year. But is there an obvious reason?

Or is the point here that if the revenue backdrop is strong, we could still maybe replicate the strength more or less that we have seen in the first half? Or are you expect should we be expecting a step shift due to 2 reasons? 1, seasonality. And second, the pull forward in the investments that you have talked about multiple times this call. Thanks.","Well, good morning, Ebrahim, and very much. May maybe let me start by not reiterating, but, you know, emphasizing a couple of points. The first 1 is we are pleased to see and we are not expecting to stop, just to be clear. The commercial intensity that we are driving our execution, rigor and focus the, you know, the already you know, good results we are seeing from past investments. that is we are not planning on that to stop. And, of course, if the environment is constructive, we expect to see continued momentum. Right? I spoke for a minute just now about NII.

We have good momentum in our services business where we are seeing good engagement and, you know, higher win rates with new mandates. Deepening relationships with existing clients, and some of the investments that we made in our platform paying off. We had a very good quarter in markets as you can see. We are making investments in talent. In technology, The market is constructive. it is it is good to see the business model working in a diversified way so that not every cylinder needs to be firing right, completely in order to have very good results as we just did.

Banking, of the investments we are making, the momentum, the intensity that this is driving in the business playing through. You are seeing the improvement on wealth. Right? In terms of the returns being driven there, both NNIA growing at 9% our deposits growing, our NII growing. Many of those things have an element of sustainability in them as well. And cards, I mentioned a little bit of the dynamics because we are trying to invest in the business. But you can look at the drivers right, even for the last few quarters, not just the ones this quarter that have the element of Barclays and American Airlines portfolio coming in.

And they are healthy because we are investing in the business, and we know that is a high return business. All those things we expect to continue to play through in the second half. And the only thing we are saying is that we wanna make sure that we are accounting for uncertainty, We are accounting for seasonality. And we have the flexibility to position the firm even better for the future to come.",,
30,Citi,"Ebrahim Poonawala, Bank of America (follow-up)","Gonzalo Lucchetti, CFO","(embedded in the source without a clean speaker break) ""Got it. And maybe just, Gonzalo, I think you talked about the USCC in the back half around revenue versus expenses. If you do not mind, double clicking on that in terms of the trend we should expect in the back half and just over a more longer period of time, what you expect on the revenue versus expense trajectories there.","Yes. No, thank you for the question. So think when you look at cards, there is a couple of things that stand out to me, and you can see them in the second quarter so that you can actually anchor them on numbers which you have seen. The first thing is we spoke about how the through the cycle return target for our cards business is low twenties. So the first principle for us is the returns discipline. Right?

And you can see that we are while we are investing, and I will talk about that more in a second, we are keeping that high focus on returns and the rigor, and this is true across our proprietary book, but also every single 1 of our partner relationships. And you have seen us Pam mentioned at Investor day, exit relationships that do not pass our return targets. So that discipline to me is super important. Even in a quarter where you can see our investment level you still can see a 22% return there high for our firm. The second piece is we spoke about our strategy.

And our strategy had 2 components, 2 big elements that we spoke about. 1 of them was the shift to what we call general purpose credit cards. that is been driven by the customer behavior. You see it in the drivers. If you look at the bottom at the bottom right side, of the cards page, is page 12, you can see the bifurcation of the drivers and that those are the customers telling us how their behavior is, you know, is driving the business. And you can see that already in our numbers, right? At the end of last year, 82% of our book was general purpose cards. This quarter, we are at 84%.

So over time, you are gonna continue to see us increase that purely because 1 is going to grow faster than the other. And the second leg is we said we were going to make investments Right? And now you are seeing that play through this quarter. And as I mentioned in my earlier remarks, you can expect that over the next few quarters, there is going to be a few quarters where the expense growth will be greater than the revenue and than the revenue growth. And you should know that we are comfortable with that because number 1, we are keeping the return focus very sharp. And number 2, we know that these investments pay off.

So this is a deliberate choice to invest in a high return in business while keeping that return focus in the forefront. And then last piece I will mention on investments, Some of what you are seeing remember, as a reminder, the investments in the card business, they play both in of expenses, but they also have a contra revenue component. Because a lot of the acquisition activity plays as a contra revenue. Right? And so what you are seeing us do is you are seeing us invest in acquisitions. You are seeing us invest in our product capabilities, into our client experience.

Into the loyalty and engagement, which is something that is key so that we can be top of wallet. As well as in our partnerships as we did with the Barclays portfolio as well. And so those key pieces are critical. You are seeing as co brand you know, airport lounges with American Airlines, into the US. You can already see in a few airports. So you are seeing us lean forward in a business that is high return. Thank you very much.",,
